"title","suite","keyword","action","priority"
"User can sign in with valid credentials","Login & Authentication","Given","the user is on the login page","high"
"User can sign in with valid credentials","Login & Authentication","When","they enter valid email and password","high"
"User can sign in with valid credentials","Login & Authentication","And","they click Sign In","high"
"User can sign in with valid credentials","Login & Authentication","Then","they are redirected to the dashboard","high"
"User sees error on invalid password","Login & Authentication","Given","the user is on the login page","medium"
"User sees error on invalid password","Login & Authentication","When","they enter an incorrect password","medium"
"User sees error on invalid password","Login & Authentication","And","they click Sign In","medium"
"User sees error on invalid password","Login & Authentication","Then","an error message is displayed","medium"
"User can reset password via email","Login & Authentication","Given","the user is on the login page","medium"
"User can reset password via email","Login & Authentication","When","they click Forgot Password","medium"
"User can reset password via email","Login & Authentication","And","they enter their registered email","medium"
"User can reset password via email","Login & Authentication","Then","a reset confirmation is shown","medium"
"Dashboard loads within 2 seconds","Dashboard & Navigation","Given","the user is signed in","high"
"Dashboard loads within 2 seconds","Dashboard & Navigation","When","the dashboard page loads","high"
"Dashboard loads within 2 seconds","Dashboard & Navigation","Then","the page loads within 2 seconds","high"
"Sidebar collapses and state persists","Dashboard & Navigation","Given","the user is on the dashboard","low"
"Sidebar collapses and state persists","Dashboard & Navigation","When","they click the sidebar collapse button","low"
"Sidebar collapses and state persists","Dashboard & Navigation","Then","the sidebar collapses","low"
"Sidebar collapses and state persists","Dashboard & Navigation","When","they refresh the page","low"
"Sidebar collapses and state persists","Dashboard & Navigation","Then","the sidebar remains collapsed","low"
"User can update profile name","Profile & Settings","Given","the user is on the profile settings page","medium"
"User can update profile name","Profile & Settings","When","they change the display name","medium"
"User can update profile name","Profile & Settings","And","they click Save","medium"
"User can update profile name","Profile & Settings","Then","a success message is shown and the name is updated","medium"
"User can upload avatar","Profile & Settings","Given","the user is on the profile settings page","low"
"User can upload avatar","Profile & Settings","When","they click upload avatar and select an image","low"
"User can upload avatar","Profile & Settings","Then","the image preview is shown","low"
"User can upload avatar","Profile & Settings","When","they confirm the upload","low"
"User can upload avatar","Profile & Settings","Then","the avatar is updated across the app","low"
"Search returns relevant results","Search & Filtering","Given","the user is on the search page","high"
"Search returns relevant results","Search & Filtering","When","they enter a known product name","high"
"Search returns relevant results","Search & Filtering","Then","the results list contains relevant items","high"
"Empty search shows helpful state","Search & Filtering","Given","the user is on the search page","medium"
"Empty search shows helpful state","Search & Filtering","When","they enter a random string with no matches","medium"
"Empty search shows helpful state","Search & Filtering","Then","a no results found message is shown","medium"
"Pagination works on long lists","Search & Filtering","Given","the user is on a page with 50+ items","medium"
"Pagination works on long lists","Search & Filtering","When","they click Next page","medium"
"Pagination works on long lists","Search & Filtering","Then","the second page of results loads","medium"
"Pagination works on long lists","Search & Filtering","When","they click Previous page","medium"
"Pagination works on long lists","Search & Filtering","Then","the first page loads again","medium"
