"title","suite","action","expected result","priority"
"User can sign in with valid credentials","Login & Authentication","Navigate to the login page","Login form is displayed","high"
"User can sign in with valid credentials","Login & Authentication","Enter valid email and password","Fields accept input","high"
"User can sign in with valid credentials","Login & Authentication","Click Sign In","User is redirected to the dashboard","high"
"User sees error on invalid password","Login & Authentication","Navigate to the login page","Login form is displayed","medium"
"User sees error on invalid password","Login & Authentication","Enter valid email and incorrect password","Fields accept input","medium"
"User sees error on invalid password","Login & Authentication","Click Sign In","Error message is displayed","medium"
"User can reset password via email","Login & Authentication","Click Forgot Password on login page","Reset form is displayed","medium"
"User can reset password via email","Login & Authentication","Enter registered email address","Email field accepts input","medium"
"User can reset password via email","Login & Authentication","Click Send Reset Link","Confirmation message shown","medium"
"Dashboard loads within 2 seconds","Dashboard & Navigation","Sign in with valid credentials","Dashboard page loads","high"
"Dashboard loads within 2 seconds","Dashboard & Navigation","Observe page load time","Page loads within 2 seconds","high"
"Sidebar collapses and state persists on refresh","Dashboard & Navigation","Click the sidebar collapse button","Sidebar collapses","low"
"Sidebar collapses and state persists on refresh","Dashboard & Navigation","Refresh the page","Sidebar remains collapsed","low"
"User can update profile name","Profile & Settings","Navigate to profile settings","Profile page loads","medium"
"User can update profile name","Profile & Settings","Change the display name","Field accepts input","medium"
"User can update profile name","Profile & Settings","Click Save","Success message shown, name updated","medium"
"User can upload avatar","Profile & Settings","Navigate to profile settings","Profile page loads","low"
"User can upload avatar","Profile & Settings","Click upload avatar and select an image","Image preview shown","low"
"User can upload avatar","Profile & Settings","Confirm upload","Avatar updated across the app","low"
"Search returns relevant results","Search & Filtering","Navigate to the search page","Search input is displayed","high"
"Search returns relevant results","Search & Filtering","Enter a known product name","Results list populates","high"
"Search returns relevant results","Search & Filtering","Verify results contain the search term","All results are relevant","high"
"Empty search shows helpful state","Search & Filtering","Enter a random string with no matches","No results found message shown","medium"
"Pagination works on long lists","Search & Filtering","Navigate to a page with 50+ items","First page of results shown","medium"
"Pagination works on long lists","Search & Filtering","Click Next page","Second page of results loads","medium"
"Pagination works on long lists","Search & Filtering","Click Previous page","First page loads again","medium"
