"title","suite","action","expected result","priority"
"Phone Sign-In","Authentication","Open app (unauthenticated)","OTP sent, navigates to OTP verification screen.","critical"
"Phone Sign-In","Authentication","Tap Sign In from any auth-gated screen","Phone number displayed on OTP screen.","critical"
"Phone Sign-In","Authentication","Enter valid UK phone number","Resend button disabled with countdown timer.","critical"
"Phone Sign-In","Authentication","Tap continue","After countdown resend becomes active","critical"
"OTP Verification","Authentication","Complete 1.1","Navigates to home screen.","critical"
"OTP Verification","Authentication","Enter correct 6-digit OTP","Profile tab shows user info.","critical"
"OTP Verification","Authentication","Tap verify","Cart, wishlist, orders now accessible","critical"
"OTP - Invalid Code","Authentication","Complete 1.1","Error message displayed. User can retry.","high"
"OTP - Invalid Code","Authentication","Enter incorrect OTP","Resend OTP option available after countdown","high"
"OTP - Resend","Authentication","Complete 1.1","New OTP sent.","high"
"OTP - Resend","Authentication","Wait for countdown to finish","Countdown resets.","high"
"OTP - Resend","Authentication","Tap Resend","New OTP works for verification","high"
"Google Sign-In","Authentication","Tap Google sign-in button","Redirects back to app via streetapp:// deep link.","critical"
"Google Sign-In","Authentication","Complete Google OAuth flow","User authenticated, lands on home screen.","critical"
"Google Sign-In","Authentication","Select/confirm Google account","Profile shows Google account info","critical"
"Apple Sign-In (iOS Only)","Authentication","On iOS device tap Apple sign-in button","User authenticated, lands on home screen.","critical"
"Apple Sign-In (iOS Only)","Authentication","Complete Apple authentication (Face ID / password)","Works with Hide My Email option","critical"
"Guest Browsing","Authentication","On sign-in screen tap back / swipe back","Navigates to home screen as guest. Can browse stores and products. Auth-gated actions show sign-in prompt","critical"
"Logout","Authentication","While authenticated go to Profile tab","Navigates to sign-in screen. Navigation stack cleared.","high"
"Logout","Authentication","Tap Log Out","Cart cleared. WebSocket disconnected","high"
"Logout","Authentication","Confirm in dialog","","high"
"Delete Account","Authentication","Profile > Delete Account","Account deleted on backend. Navigates to sign-in screen.","medium"
"Delete Account","Authentication","Confirm in bottom sheet modal","Stack cleared","medium"
"Home Screen Load","Home & Browsing","Open app / navigate to Home tab","Greeting shows Hi [First Name] (authenticated) or Hi Guest (guest). Category filter bar visible. Store grid loads with store cards","critical"
"Category Filtering","Home & Browsing","On home screen tap a category badge","Store list filters to matching category. Tapping All or deselecting resets to full list","high"
"Pull to Refresh","Home & Browsing","Pull down on home screen","Refresh indicator appears. Store data reloads. Wishlist data refreshes (if authenticated)","high"
"Store Card Navigation","Home & Browsing","Tap a store card on home screen","Navigates to store details page. Store image, name, description displayed. Products load in grid below","critical"
"Location Permission Request","Home & Browsing","Fresh install open app","System location permission dialog appears. On grant: location services enabled.","high"
"Location Permission Request","Home & Browsing","Navigate to home screen","On deny: app continues to function","high"
"Notification Permission Request","Home & Browsing","Grant location permission (2.5)","System notification permission dialog appears after location is granted.","high"
"Notification Permission Request","Home & Browsing","If notification permission not yet asked","Not shown simultaneously with location dialog","high"
"Store Page Load","Store Details","Navigate to a store from home screen","Hero image (or gradient fallback). Store name and description displayed. Product type filter badges visible. Product grid loads","critical"
"Product Type Filtering","Store Details","On store page tap a product type badge","Products filter to selected type. Tap again or tap All to reset","high"
"Infinite Scroll Products","Store Details","On a store with many products scroll to bottom","More products load automatically. Loading indicator shown briefly. No duplicate products","high"
"Store Favorite Toggle","Store Details","While authenticated tap heart icon on store page","Heart fills/unfills. Snackbar confirmation. Store appears/disappears in Wishlist tab","high"
"Store Favorite - Guest","Store Details","While guest tap heart icon on store page","Sign-in prompt dialog appears. Does not toggle favorite","high"
"Store Closed State","Store Details","Navigate to a store that is currently closed","Store status indicates closed. Products still visible for browsing. Add to cart may be restricted","high"
"Product Page Load","Product Details","Tap a product from store grid","Image carousel with pagination dots. Store brand tag (tappable). Product name (uppercase). Price and stock info. Variant selection. Shipping & Returns section. Similar Products section","critical"
"Image Carousel","Product Details","Swipe through product images","Pagination dots update on swipe.","high"
"Image Carousel","Product Details","Tap an image","Tap opens full-screen image preview modal","high"
"Variant Selection","Product Details","On a product with variants select different options","Price updates for selected variant. Stock info updates. Image may update. Add to bag button reflects availability","critical"
